245$a|245$b|245$c|100$a|490$v|260$c|856$u
"Effects of ecotourist pre-purchase and external information search behaviors and strategies on forest-based ecotourism travel decisions in Sri Lanka"||"by Rangika T. Perera."|"Perera, Rangika T."|"2011])"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04252011-172401/"
"The good, the bad and the unintended"|"the role of negative self-conscious emotions in marketing /"|"by Kate Pounders."|"Pounders, Kate."|"2011])"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04252011-164525/"
"HMO2, a yeast HMGB protein that preferentially binds to DNA ends"||"by Sreerupa Ray."|"Ray, Sreerupa."|"2011])"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04132011-205535/"
"Hear (no) evil, see (no) evil, speak (no) evil"|"artistic representations of Argentina's ""Dirty War"" /"|"by Juliana Reineman."|"Reineman, Juliana."|"2011])"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04282011-172052/"
"The predictive ability of demographic and psychosocial risk factors, school-related characteristics, and service interventions on grade attainment among at-risk elementary school children in a truancy intervention program"||"by Judith Lee Falgout Rhodes."|"Rhodes, Judith Lee Falgout,"|"2011])"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04202011-140606/"
"Biochemical and genetic insights into asukamycin biosynthesis"||"by Zhe Rui."|"Rui, Zhe,"|"2011])"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04192011-135539/"
"Sources of self-efficacy in distance runners"||"by Ashley A. Samson."|"Samson, Ashley A."|"2011])"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04182011-113049/"
"Understanding the role of Expectation Disconfirmation Theory on IT outsourcing success"||"by Colleen Schwarz."|"Schwarz, Colleen."|"2011])"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04262011-133651/"
"The Louisiana alternative Career Diploma as institutionalized cultural capital"|"high school principals' perceptions of its value /"|"by Marcil C. Seals."|"Seals, Marcil C."|"2011])"|"2011]"|"http://etd.lsu.edu/docs/available/etd-12082010-111132/"
"Polymer based microfabrication and its applications in optical MEMS and bioMEMS"||"by Guocheng Shao."|"Shao, Guocheng."|"2011])"|"2011]"|"http://etd.lsu.edu/docs/available/etd-03242011-201607/"
"Performing selfhoods in U.S. rituals of private and public spheres"||"by Linda A Shkreli."|"Shkreli, Linda A."|"2011])"|"2011]"|"http://etd.lsu.edu/docs/available/etd-01272011-134931/"
"Oblivious buy-at-bulk network design algorithms"||"by Srivathsan Srinivasagopalan."|"Srinivasagopalan, Srivathsan,"|"2011])"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04202011-092524/"
"Advanced semantics for accelerated graph processing"||"by Dylan Stark."|"Stark, Dylan,"|"2011])"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04192011-164932/"
"Polyfocal structures in Franz Schubert's Lieder"||"by Matthew Steinbron."|"Steinbron, Matthew."|"2011])"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04252011-144734/"
"The tick response to Rickettsial dissemination during typical and atypical Rickettsial infection"||"by Piyanate Sunyakumthorn."|"Sunyakumthorn, Piyanate."|"2011])"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04192011-205428/"
"An examination of the effectiveness of an early truancy intervention for reducing chronic absenteeism amongst at-risk students through the use of Regression Discontinuity analysis"||"by Johanna M. Thomas."|"Thomas, Johanna M."|"2011])"|"2011]"|"http://etd.lsu.edu/docs/available/etd-03312011-113625/"
"Examining the perceptions of teachers' efficacy in handling student misbehavior (TEHSM) in classroom and physical education settings"||"by Costas Nicou Tsouloupas."|"Tsouloupas, Costas Nicou."|"2011])"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04072011-213237/"
"Assessment of core stability"|"developing practical models /"|"by Andy Waldhelm."|"Waldhelm, Andy."|"2011])"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04262011-110012/"
"Eight is not enough"|"a historical, cultural, and philosophical analysis of the flash mob /"|"by Rebecca Walker."|"Walker, Rebecca."|"2011])"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04112011-102646/"
"Understanding the selective detection of Homocysteine and studies toward the synthesis of vinigrol"||"by Dong Wang."|"Wang, Dong,"|"2011])"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04112011-173742/"
"Simplicillium lanosoniveum, a mycoparasite of Phakopsora pachyrhizi and its use as a biological control agent"||"by Nicole A. Ward."|"Ward, Nicole A.,"|"2011])"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04272011-165903/"
"The attitudes of African American students towards the study of foreign languages and cultures"||"by Katrina Watterson."|"Watterson, Katrina."|"2011])"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04152011-150931/"
"Birth matters"|"discourses of childbirth in contemporary American culture /"|"by Jennifers Ellis West."|"West, Jennifer Ellis."|"2011])"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04202011-093522/"
"The influence of selected demographic and biographical characteristics on the level of cultural intelligence among mid-level managers of home health care systems in the United States"||"by Martha Stuart Williams."|"Williams, Martha Stuart,"|"2011])"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04282011-153507/"
"Molecular mechanisms of Bacillus thuringiensis resistance in the sugarcane borer"||"by Yunlong Yang."|"Yang, Yunlong,"|"2011])"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04212011-153427/"
"Large-scale influences on tropical cyclogenesis for selected storms in the 2005 Atlantic hurricane season"||"by Jinwoong Yoo."|"Yoo, Jinwoong,"|"2011])"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04212011-165830/"
"Adams-Jefferson"|"An inquiry into human, nature, politics, and the implications for a republic /"|"by Adetoyese Itunu Adedipe."|"Adedipe, Adetoyese Itunu,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04262011-222019/"
"Comparison of different integral histogram based tracking algorithms"||"by Sriharsha Atluri."|"Atluri, Sriharsha,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04292011-082207/"
"The latent landscape"||"by May Ann Babcock."|"Babcock, May Ann."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04272011-123059/"
"Simulated subaverage performance on the Block Span task of the Stanford-Binet Intelligence Scales-Fifth Edition"||"by Alyse A. Barker."|"Barker, Alyse A."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04152011-142614/"
"Citizens United and the balance between individual and corporate political speech"||"by Eric John Berken."|"Berken, Eric John."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04132011-183705/"
"Family supportive organization perceptions, work role overload, and burnout"|"crossover effects of burnout on recovery /"|"by Suzanne M. Booth."|"Booth, Suzanne M."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04282011-115609/"
"Using the ambulatory phonation monitor to measure the vocal parameters of older people with and without Parkinson's disease"||"by Danielle Marie Boudreaux."|"Boudreaux, Danielle Marie."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04192011-095645/"
"Use of harvest aid in soybean"|"application timing, economics and interactions in IPM programs /"|"by Joseph M. Boudreaux."|"Boudreaux, Joseph M.,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-03022011-074148/"
"Developmental responses to abiotic conditions during aquatic and air incubatoin of the Gulf killifish (Fundulus grandis)"|"subtitle /"|"by Charles A. Brown."|"Brown, Charles A.,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04262011-140320/"
"Pool boiling enhancement via micro ratchets"||"by Lance Austin Brumfield."|"Brumfield, Lance Austin."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04072011-150934/"
"Performance of control room operators in alarm management"||"by Dileep Buddaraju."|"Buddaraju, Dileep,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04212011-124638/"
"Electrochemical etching of isolated structures in p-type silicon"||"by Joel Niño G. Bugayong."|"Bugayong, Joel Niño G.,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-03032011-163036/"
"V2O5-WO3 composite films and surface-coated LiCoO2 for enhanced Li-ion intercalation properties"||"by Chuan Cai."|"Cai, Chuan,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-12082010-161626/"
"""Are you better off""; Ronald Reagan, Louisiana, and the 1980 Presidential election"||"by Matthew David Caillet."|"Caillet, Matthew David,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-03302011-144750/"
"Priceless portals"|"the bronze doors of the Florentine Baptistery /"|"by Sarah Portera Cambas."|"Cambas, Sarah Portera,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04202011-155813/"
"From ""courtesy of the red, white, and blue"" to ""if you're reading this"""|"patriotic themes in country music between 2000-2010 /"|"by Claire Carville."|"Carville, Claire."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04252011-224457/"
"Foreign aid's impact on economic growth"|"conditional on accountable institutions? /"|"by Anna Castrillo."|"Castrillo, Anna,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04142011-220952/"
"Long-term continuity moment assessment in prestressed concrete girder bridges"||"by Veeravenkata S. Murthy Chebole."|"Chebole, Veeravenkata S. Murthy,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04052011-195831/"
"An intelligent Othello player combining machine learning and game specific heuristics"||"by Kevin Anthony Cherry."|"Cherry, Kevin Anthony,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04202011-170529/"
"Developing a tool to characterize the ultradian rhythm in diploid Saccharomyces cervisiae using the reporter gene green fluorescent protein"||"by Imran Chiragh."|"Chiragh, Imran,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04282011-152449/"
"The American Empire"|"a content and textual analysis of the media coverage of the 2009 U.S. and Colombia military base agreement /"|"by Britt Don Christensen."|"Christensen, Britt Don."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04272011-111335/"
"Pore-scale lattice Boltzmann simulations of inertial flows in realistic porous media"|"a first principle analysis of the Forchheimer relationship /"|"by Chukwudi Chukwudozie."|"Chukwudozie, Chukwudi,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04252011-174119/"
"Provenance and origin of Holocene beach ridge and modern beach sands from the Costa de Nayarit, western Mexico"||"by Ruben Abe Cisnerors."|"Cisneros, Ruben Abe,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04262011-150353/"
"The contribution of implicit stereotypes to the overrepresentation of African Americans in the special education category of emotional disturbance"||"by Tai A. Collins."|"Collins, Tai A.,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-03292011-190359/"
"""The prince and his people"""|"a study of Edwardian propaganda, 1547-1549 /"|"by Allison Claire Cooper."|"Cooper, Allison Claire."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04292011-100032/"
"Evaluation of volumetric and mechanistic properties of asphalt mixtures"|"laboratory vs. field /"|"by Samuel B. Cooper, III."|"Cooper, Samuel B.,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04202011-160003/"
"What is the importance of oil and gas platforms in the community structure and diet of benthic and demersal communities in the Gulf of Mexico?"||"by Sara Terrebonne Daigle."|"Daigle, Sara Terrebonne,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04052011-235207/"
"Test-driving interventions to increase treatment integrity and student outcomes"||"by Evan H. Dart."|"Dart, Evan H.,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-03232011-210718/"
"Development of a total nutrient treatment system for alligator and dairy parlor wastewater using hydrated lime and organic bacterial growth media"||"by Troy Francis Davis."|"Davis, Troy Francis,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-03242011-193729/"
"Finding inspiration in Invitation to a Beheading"|"a thesis on the creation and development of a one-person play /"|"by Joshua Ryan Dawes."|"Dawes, Joshua Ryan."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04262011-225831/"
"Investigating the use of graphic organizers for writing"||"by Laura Nicole Delrose."|"Delrose, Laura Nicole."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04122011-182849/"
"A survey of selected representations of the stroke and aphasia quality of life scale-39 items"||"by Dara Lynn Elizabeth Deroche ."|"Deroche, Dara Lynn Elizabeth."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04262011-211319/"
"Gay-marriage in 2004 U.S. presidential election"||"by James Dunphy."|"Dunphy, James,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04272011-155810/"
"Intravenous injection of insulin for measuring insulin sensitivity in horses"|"effects of epinephrine, feeding regimen, and supplementation with cinnamon for fish oil /"|"by Lisa RosaLee Earl."|"Earl, Lisa RosaLee."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04282011-103834/"
"Soft sediment relay zones"|"a high resolution seismic survey Livingston Parish, Louisiana /"|"by Erin T. Elliott."|"Elliott, Erin T."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04202011-224416/"
"The design of a computer system to determine the causes of edema using magnetic resonance spectroscopy"||"by Carl Fink."|"Fink, Carl,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-01272011-160024/"
"Antarctic plant and phytoplankton response to the first phase of the Mid Miocene Climatic Optimum at South McMurdo Sound"||"by Lee R. Foersterling."|"Foersterling, Lee R."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04072011-121327/"
"Threat, violence, and voters"|"race and context in the 2008 presidential election /"|"by Matthew Fowler."|"Fowler, Matthew,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04262011-131328/"
"Torture and fear as tools for maintaining power in The Germophobe"|"a thesis on creating a one-man show from the author-actor himself /"|"by Alexander Stephen Galick."|"Galick, Alexander Stephen."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04152011-172158/"
"Dry reforming of methane on rhodium and nickel substituted pyrochlore catalysts"||"by Sarthak Gaur."|"Gaur, Sarthak,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04282011-093442/"
"The impact of choice on child sustained attention in the preschool classroom"||"by Kelly Elizabeth Geary."|"Geary, Kelly Elizabeth,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04202011-174839/"
"The Lower Ninth Ward"|"resistance, recovery, and renewal /"|"by Alexandra L. Giancarlo."|"Giancarlo, Alexandra L.,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04292011-090634/"
"Spiritual development as a component of holistic development in higher education"||"by Mary Claire Gilder."|"Gilder, Mary Claire."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04252011-120026/"
"Loving me or loving you"|"influencing the attitudes and behaviors of children through a prosocial intervention /"|"by Shawna H. Gose."|"Gose, Shawna H."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04252011-083956/"
"Demography, paleopathology, and health status of the Moche remains in Huambacho, Peru"|"a comprehensive osteological analysis /"|"by Emily Grace."|"Grace, Emily,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04252011-170557/"
"Fandom, media consumption, and college sports knowledge"|"a survey of college undergraduates /"|"by Theodore Charles Greener."|"Greener, Theodore Charles."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04122011-102759/"
"The creation of ""Echolalia"|"a Conversation"" a production thesis in acting /"|"by Olga Michele Guidry."|"Guidry, Olga Michele."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04222011-144421/"
"Treatment effects of attention process training for an individual with idiopathic Parkinson's disease"||"by Erin Reneé Guillory."|"Guillory, Erin Reneé."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04252011-152953/"
"Myth, method and masturbation"|"the hysteria of woman's sexuality, a one-person play /"|"by Josephine Hall."|"Anglin, Josephine,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-02252011-151717/"
"The influence of humanism on English social structures through the actions of Thomas Linacre and John Colet"||"by Erin Michelle Halloran."|"Halloran, Erin Michelle,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04272011-102751/"
"College students' apparel shopping orientation changes in relations to life events"||"by Yang He."|"He, Yang,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-01182011-130229/"
"Vessel manifest"||"by Jessie M. Hornbrook."|"Hornbrook, Jessie M."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04252011-075708/"
"Efficacy of genres in training videos for emergency first responders"||"by Kerry Jenkins."|"Jenkins, Kerry."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04112011-082450/"
"Assessing attentional bias and cerebral laterality in specific phobia using a dichotic listening paradigm"||"by Whitney Jenkins."|"Jenkins, Whitney,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04192011-123723/"
"Parallel surrogate detection in large-scale simulations"||"by Lei Jiang."|"Jiang, Lei,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04262011-114601/"
"Effect of piezoelectric actuation on curved beams and single lap joints"||"by Calicia L. Johnson."|"Johnson, Calicia L."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04282011-175003/"
"Development of Attitudes of Children toward Coastal Environment Themes survey"|"exploring attitudes of Louisiana middle school students /"|"by Rebecca M. Jones."|"Jones, Rebecca M.,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04212011-135340/"
"Un Bel Composto"|"the unification of the visual arts at the Old Sacristy of San Lorenzo /"|"by Arrie Ann Kain."|"Kain, Arrie Ann."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04212011-101531/"
"Decomposition rates in tobacco and hay barns in Kentucky"||"by Valerie Kauffeld."|"Kauffeld, Valerie,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04192011-104718/"
"Hydrodynamic focusing micropump module with PDMS/nickel-particle composite diaphragms for microfluidic systems"||"by Jeonghwan Kim."|"Kim, Jeonghwan,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04212011-091441/"
"Spatiotemporal responses of macroinvertebraes to timber harvesting in low-gradient headwater streams of central Louisiana"||"by Derrick Klimesh."|"Klimesh, Derrick."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04262011-151723/"
"Mesmerized"||"by Katherine Knoeringer."|"Knoeringer, Katherine,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04282011-104110/"
"Examining teen girls' fashion behavior in the virtual and the real world"|"an exploratory study /"|"by Caroline Makena Kobia."|"Kobia, Caroline Makena,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04112011-114831/"
"Cost and performance modeling of the MU-Decoder"||"by Raghavendra Kongari."|"Kongari, Raghavendra,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04282011-065004/"
"Miscible column studies of unfractured and saturated cores of Topopah Spring Tuff from Yucca Mountain, Nevada using hydrophobic organic pollutants"||"by Kody V. Kramer."|"Kramer, Kody V.,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04252011-233326/"
"Stage specific cotton water use crop coefficients in northeast Louisiana"||"by Vipan, Kumar."|"Kumar, Vipan."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04272011-153235/"
"The multi-institutional study of leadership at LSU"|"how participation in specific student groups affects one's leadership /"|"by Courtney Lambert."|"Lambert, Courtney,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04262011-095652/"
"The effects of fantasy football participation on team identification and NFL fandom"||"by Jeremy Lee."|"Lee, Jeremy,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04142011-162307/"
"Psychometric evaluation of a proposed, Alzheimer's aggression scale"||"by Kristina Little."|"Little, Kristina."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04052011-105808/"
"Caregiver attitude, as expressed verbally in a group setting, and its association with children's attachment security"||"by Erin Wallace Lovett."|"Lovett, Erin Wallace."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04282011-095509/"
"Evaluation of volumetric modulated arc therapy (VMAT) patient specific quality assurance"||"by Gordon Mark Mancuso."|"Mancuso, Gordon Mark,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04252011-172916/"
"Analysis of major hydrologic events in Ascension Parish, LA"||"by Jessica Irene Mason."|"Mason, Jessica Irene,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-01182011-210957/"
"Development of a Monte Carlo based correction strategy for a TG-43 based brachytherapy treatment planning system to account for applicator inhomogeneities"||"by Bobby Mathews."|"Mathews, Bobby"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04052011-102551/"
"Impact of embalming and burial on decomposition rates and diffusion of volatile fatty acids in Kentucky"||"by Bonnie Charlana McQuinn."|"McQuinn, Bonnie Charlana,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04252011-180855/"
"Spray drying technology for the production and processing of microencapsulated omega-3 fish oil with egg powder"||"by Kevin Estuardo Mis Solval."|"Mis Solval, Kevin Estuardo,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04272011-152744/"
"Influence of low sonication intensities at different temperatures on acid tolerance, bile tolerance, protease activity and growth of yogurt culture bacteria Lactobacillus delbrueckii ssp. bulgaricus and Streptococcus salivarius ssp. thermophilus"||"by Marvin L. Moncada Reyes."|"Moncada Reyes, Marvin L.,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-03292011-141434/"
"The Times-Picayune coverage of three incidents resulting in capital trials"||"by Sean S. Muggivan."|"Muggivan, Sean S."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04262011-131720/"
"Simulated subnormal performance on the Stanford Binet-V"|"an exploratory investigation of the Stanford Binet rarely missed items index /"|"by Mandi W. Musso."|"Musso, Mandi W."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04252011-070227/"
"Simulation study of sweep improvement in heavy oil CO2 floods"||"by Venu Gopal Rao Nagineni."|"Nagineni, Venu Gopal Rao,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04282011-104818/"
"Simulation of cell seeding and retention in a disordered polymeric scaffold"||"by Tejaswini Narayana."|"Narayana, Tejaswini,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-01202011-204235/"
"Back-end processing of scanning mirrors with scratch drive actuators"||"by Pradeep Pai."|"Pai, Pradeep,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04202011-220632/"
"Influence of sand topdressing on bermudagrass thatch decomposition"||"by Dustin S. Parker."|"Parker, Dustin S.,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-01172011-120802/"
"Analysis of static lateral load test of battered pile group at I-10 Twin Span Bridge"||"by Binay Pathak."|"Pathak, Binay."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-01092011-141358/"
"Communication in today's network"||"by Carter Jahncke Perrilliat."|"Perrilliat, Carter Jahncke,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04252011-122547/"
"Assymmetry in distribution systems"|"causes, harmful effects and remedies /"|"by Isaac Plummer."|"Plummer, Isaac."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04292011-090330/"
"Fostering compliance in preschool-aged children using least-to-most assistive prompt hierarchy"||"by Courtney Powers."|"Powers, Courtney."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04252011-191232/"
"Into the vault of the saints"|"the exterior crypts of Saint-Denis in Paris and Saint-Germain in Auxerre /"|"by Matthew Ryan Reed."|"Reed, Matthew Ryan,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-05022011-134403/"
"Investigating early childhood teachers' stress and social supports"|"a multi-methods approach /"|"by Ashley Romero."|"Romero, Ashley,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04132011-195257/"
"An empirical contribution to development theory"|"a covariance structure model for development as freedom /"|"by Carlos A. Rosas López."|"Rosas López, Carlos A."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04292011-114651/"
"Predicting posttraumatic growth"|"coping, social support, and posttraumatic stress in children and adolescents after Hurricane Katrina /"|"by Mark A. Schexnaildre."|"Schexnaildre, Mark A."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04022011-221554/"
"Moral dilemmas in contemporary virtue ethics"||"by Nicholas Schroeder."|"Schroeder, Nicholas,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04182011-213419/"
"Development and permeability of equine blastocysts"||"by Brittany Reshel Scott."|"Scott, Brittany Reshel,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04262011-083851/"
"Assessing the suitability of various feedstocks for biomass gasification"||"by Akshya Sharma."|"Sharma, Akshya,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04272011-164628/"
"Evaluation of simultaneous water and gas injection using CO2"||"by Shrinidhi Shetty."|"Shetty, Shrinidhi,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04252011-214015/"
"Difficulty disengaging attention from appearance words among women with high social anxiety"||"by Jose Silgado."|"Silgado, Jose."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04272011-135545/"
"Improving math instruction in schools that serve the poor"||"by John L. Sims, Jr."|"Sims, John L.,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-01272011-151106/"
"Permission to perform"|"a waltz with Zelda /"|"by Sarah E. Smith."|"Smith, Sarah E."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04192011-231558/"
"Laboratory scale seismic analysis of a spatially variable hydrological surface in unconfined, unconsolidated sand"||"by David E. Smolkin."|"Smolkin, David E.,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04262011-204528/"
"A qualitative study of 4-H state and field faculty use of social media to communicate with youth, volunteers, and stakeholders"||"by Mary Christina Sorenson."|"Sorenson, Mary Christina."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04272011-121244/"
"Neutralizing gender"|"autonomy's role in disarming gender bias /"|"by Scott Szymanski."|"Szymanski, Scott."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04192011-120345/"
"Stay calm and tweet"|"a best practice approach to the use of social media in a crisis situation /"|"by Elizabeth Barrow Tadie."|"Tadie, Elizabeth Barrow."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04202011-133123/"
"Parameter tuning and experimental results of power system stabilizer"||"by Bixiang Tang."|"Tang, Bixiang."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04152011-004352/"
"Efficient replica-exchange across distributed production infrastructure"||"by Abhinav Thota."|"Thota, Abhinav."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04282011-135154/"
"Hospice organizations on the social media scene"|"benchmarking the uses and strategies of hospice organizations on the internet in 2011 /"|"by Emily Tiller."|"Tiller, Emily."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04172011-223913/"
"Una pluma fuera de serie"|"La (re)presentación de la lesbiana en la trilogia de Lola Van Guardia /"|"by Rafael Valadez."|"Valadez, Rafael."|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04252011-175539/"
"A study of the scale-invariant feature transform on a parallel pipeline"||"by Phaneendra Vinukonda."|"Vinukonda, Phaneendra,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-04272011-105721/"
"Interfacial shear bond strength between old and new concrete"||"by Zhifu Wan."|"Wan, Zhifu,"|"2011]"|"2011]"|"http://etd.lsu.edu/docs/available/etd-01262011-033902/"
